family,trial,params,cv_log_loss
xgboost,19,"{""n_estimators"": 165, ""learning_rate"": 0.027876783396989856, ""max_depth"": 3, ""subsample"": 0.6742069564934521, ""colsample_bytree"": 0.9888886818865071, ""min_child_weight"": 8, ""reg_alpha"": 7.410628587399105e-05, ""reg_lambda"": 1.4517457417278777e-06}",0.5418590618812775
xgboost,20,"{""n_estimators"": 413, ""learning_rate"": 0.06728386195522448, ""max_depth"": 4, ""subsample"": 0.8242907451051413, ""colsample_bytree"": 0.893121229738368, ""min_child_weight"": 6, ""reg_alpha"": 1.8563408287850905e-06, ""reg_lambda"": 1.3896982253647561e-08}",0.6163170634925006
xgboost,21,"{""n_estimators"": 165, ""learning_rate"": 0.028795967421482483, ""max_depth"": 3, ""subsample"": 0.6643198183388561, ""colsample_bytree"": 0.9945755806190344, ""min_child_weight"": 8, ""reg_alpha"": 4.801612512588426e-05, ""reg_lambda"": 3.2741491594959092e-06}",0.5384315871536989
xgboost,22,"{""n_estimators"": 124, ""learning_rate"": 0.01454820367082932, ""max_depth"": 5, ""subsample"": 0.724445414929937, ""colsample_bytree"": 0.9318029306059327, ""min_child_weight"": 8, ""reg_alpha"": 6.272206921693771e-05, ""reg_lambda"": 2.6203660827305307e-06}",0.5574085837478435
xgboost,23,"{""n_estimators"": 321, ""learning_rate"": 0.02160493954110942, ""max_depth"": 3, ""subsample"": 0.765857258534574, ""colsample_bytree"": 0.9938792975071816, ""min_child_weight"": 10, ""reg_alpha"": 0.005423680388108324, ""reg_lambda"": 6.776988755351838e-06}",0.5399710690853384
xgboost,24,"{""n_estimators"": 246, ""learning_rate"": 0.028879587619827517, ""max_depth"": 4, ""subsample"": 0.6570688753106149, ""colsample_bytree"": 0.8520447082720494, ""min_child_weight"": 9, ""reg_alpha"": 0.00025102135517738575, ""reg_lambda"": 1.1375841039474637e-07}",0.5425009818873056
xgboost,25,"{""n_estimators"": 196, ""learning_rate"": 0.037469023027260795, ""max_depth"": 3, ""subsample"": 0.9899441484329516, ""colsample_bytree"": 0.9027736648401425, ""min_child_weight"": 8, ""reg_alpha"": 1.1146956331885216e-06, ""reg_lambda"": 9.367251114847334e-05}",0.5615190449413475
xgboost,26,"{""n_estimators"": 117, ""learning_rate"": 0.013814459997050292, ""max_depth"": 4, ""subsample"": 0.8331311475374519, ""colsample_bytree"": 0.9267687994194453, ""min_child_weight"": 10, ""reg_alpha"": 0.0016125948415595874, ""reg_lambda"": 1.0046799918914986e-06}",0.5569730407460928
xgboost,27,"{""n_estimators"": 206, ""learning_rate"": 0.057735229672586194, ""max_depth"": 5, ""subsample"": 0.6024756236869794, ""colsample_bytree"": 0.799043931268342, ""min_child_weight"": 9, ""reg_alpha"": 0.00010420656637865136, ""reg_lambda"": 2.750701810330743e-07}",0.5500829582148676
xgboost,28,"{""n_estimators"": 338, ""learning_rate"": 0.02269320326789784, ""max_depth"": 3, ""subsample"": 0.7557247457233753, ""colsample_bytree"": 0.7630231037907484, ""min_child_weight"": 6, ""reg_alpha"": 1.1086452201167259e-05, ""reg_lambda"": 3.97731763367251e-06}",0.5597157243153085
xgboost,29,"{""n_estimators"": 269, ""learning_rate"": 0.010030226303902708, ""max_depth"": 2, ""subsample"": 0.6873605017276354, ""colsample_bytree"": 0.8562610365104719, ""min_child_weight"": 9, ""reg_alpha"": 0.03205534256379522, ""reg_lambda"": 5.3150355119677775e-08}",0.5448198551036
