team_a,team_b,p_bma,p_stack,p_risk_adaptive,ensemble_prob
Virginia,Oklahoma,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Virginia,Cincinnati,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Virginia,Tulsa,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Baylor,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Virginia,UCF,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Akron,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Seton Hall,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Virginia Tech,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Virginia,Washington,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Virginia,Missouri,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Virginia,West Virginia,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Virginia,Boise St.,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Virginia,Stanford,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Florida St.,0.812535108700915,0.7224015637239439,0.812535108700915,0.7711355396442541
Virginia,Belmont,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Miami (OH),0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Northwestern,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Virginia,Yale,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Virginia,Wake Forest,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Virginia,California,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Nebraska,Vanderbilt,0.3585520057956459,0.3631194680428048,0.3585520057956459,0.3606499036289471
Nebraska,Louisville,0.3829365079365079,0.3821810268500253,0.3829365079365079,0.3825895051483803
Nebraska,Arkansas,0.5067632850241546,0.4834592403088548,0.5067632850241546,0.49605941879169846
Nebraska,Alabama,0.4462732965026337,0.43327934066205714,0.4462732965026337,0.44030499499758813
