year,favorite_win_flag,logistic_isotonic
2011,1,0.10714285714285714
2011,0,0.09375
2013,0,0.09375
2012,0,0.09375
2011,0,0.07630771543812653
2013,0,0.025
2012,0,0.08333333333333333
2012,0,0.09375
2011,0,0.03762484159973823
2012,0,0.09375
2014,0,0.125
2011,1,0.025
2013,0,0.0
2013,1,0.125
2014,0,0.03809523809523809
2011,0,0.0
2012,0,0.16666666666666666
2014,0,0.03809523809523809
2012,0,0.025
2012,0,0.03496432652954984
2012,1,0.125
2011,0,0.125
2011,0,0.025
2013,1,0.025
2013,0,0.09375
2013,0,0.025
2013,0,0.0
2011,0,0.09375
2014,0,0.03809523809523809
2013,0,0.025
2012,0,0.0
2014,0,0.03809523809523809
2011,0,0.125
2014,0,0.03809523809523809
2014,1,0.03809523809523809
2014,0,0.03809523809523809
2011,0,0.08333333333333333
2012,0,0.0
2013,0,0.09375
2013,0,0.0
2013,0,0.025
2014,0,0.03809523809523809
