year,favorite_win_flag,logistic_isotonic
2013,0,0.09375
2013,0,0.0
2011,0,0.09375
2014,0,0.028779415787568735
2014,0,0.0
2012,0,0.0
2011,0,0.08333333333333333
2012,1,0.0
2014,0,0.03809523809523809
2014,0,0.0
2013,0,0.0
2013,0,0.0
2013,0,0.0
2014,0,0.0
2011,0,0.0
2012,0,0.0
2013,0,0.0
2011,0,0.0
2011,0,0.0
