sim,champion,final4
3228,Florida,Duke|Iowa|Iowa St.|Florida
3229,Iowa St.,Alabama|Vanderbilt|Iowa St.|Illinois
3230,Illinois,Wisconsin|Saint Mary's (CA)|Iowa St.|Illinois
3231,Duke,Duke|Michigan|Iowa St.|Illinois
3232,Iowa,Houston|Iowa|Arizona|Virginia
3233,Houston,Houston|UConn|Iowa St.|VCU
3234,Houston,Houston|Gonzaga|Iowa St.|Illinois
3235,Illinois,Houston|Texas Tech|Arizona|Illinois
3236,Arizona,Alabama|Ohio St.|Arizona|Arkansas
3237,Michigan St.,Duke|Iowa|Michigan St.|St. John's (NY)
3238,Tennessee,Nebraska|UConn|Tennessee|Kentucky
3239,Florida,Duke|Texas Tech|Louisville|Florida
3240,McNeese,Purdue|Texas Tech|Iowa St.|McNeese
3241,McNeese,Duke|Michigan|Louisville|McNeese
3242,UConn,Kansas|UConn|Iowa St.|Illinois
3243,Virginia,Houston|Texas Tech|Tennessee|Virginia
3244,Duke,Duke|UConn|Virginia Tech|Illinois
3245,Arizona,South Fla.|Michigan|Arizona|St. John's (NY)
3246,Houston,Houston|UConn|Iowa St.|Florida
3247,Duke,Duke|UConn|Louisville|Florida
3248,Florida,Alabama|Ohio St.|Iowa St.|Florida
3249,Florida,Houston|Iowa|Iowa St.|Florida
3250,Michigan,Houston|Michigan|Arizona|Florida
3251,Duke,Duke|Iowa|Arizona|Kentucky
3252,Duke,Duke|Vanderbilt|Tennessee|Florida
3253,Florida,Duke|Vanderbilt|Iowa St.|Florida
3254,Florida,Akron|Michigan|Michigan St.|Florida
3255,Duke,Duke|Gonzaga|Iowa St.|Illinois
3256,Arkansas,Alabama|Saint Mary's (CA)|UCLA|Arkansas
3257,Florida,SMU|Texas Tech|Tennessee|Florida
3258,Arizona,Duke|Michigan|Arizona|NC State
3259,Iowa St.,Houston|Iowa|Iowa St.|Virginia
3260,Florida,Houston|Michigan|Michigan St.|Florida
3261,Indiana,Indiana|Michigan|Tennessee|Illinois
3262,Iowa St.,Houston|UConn|Iowa St.|Illinois
3263,NC State,Purdue|Texas Tech|Tennessee|NC State
3264,Texas Tech,Houston|Texas Tech|Arizona|Florida
3265,UConn,Duke|UConn|Michigan St.|Cincinnati
3266,Duke,Duke|Vanderbilt|Tennessee|St. John's (NY)
3267,Arizona,Kansas|Iowa|Arizona|Illinois
3268,Houston,Houston|Vanderbilt|Iowa St.|NC State
3269,Houston,Houston|UConn|Michigan St.|McNeese
