sim,champion,final4
5643,UCLA,SMU|Michigan|UCLA|Illinois
5644,Iowa St.,Nebraska|Michigan|Iowa St.|St. John's (NY)
5645,NC State,Duke|Gonzaga|Louisville|NC State
5646,Iowa St.,Duke|Michigan|Iowa St.|McNeese
5647,NC State,Purdue|Michigan|Michigan St.|NC State
5648,Michigan,Houston|Michigan|Louisville|Illinois
5649,McNeese,Saint Louis|Michigan|Louisville|McNeese
5650,Duke,Duke|Texas Tech|Tennessee|Illinois
5651,Illinois,Nebraska|Saint Mary's (CA)|Louisville|Illinois
5652,Purdue,Purdue|Vanderbilt|West Virginia|UCF
5653,Houston,Houston|Iowa|Arizona|Florida
5654,Virginia,Houston|Texas Tech|Iowa St.|Virginia
5655,Houston,Houston|Vanderbilt|Michigan St.|Santa Clara
5656,UConn,Wisconsin|UConn|Arizona|Florida
5657,Florida,Houston|Michigan|Louisville|Florida
5658,Texas Tech,Houston|Texas Tech|Louisville|McNeese
5659,Michigan,Duke|Michigan|UCLA|Illinois
5660,Purdue,Purdue|Gonzaga|UCLA|Illinois
5661,Michigan,Purdue|Michigan|Iowa St.|Florida
5662,Florida,Wisconsin|Texas Tech|Tennessee|Florida
5663,Alabama,Alabama|Michigan|Tennessee|Illinois
5664,Houston,Houston|Texas Tech|Arizona|McNeese
5665,Houston,Houston|Gonzaga|Arizona|Illinois
5666,Michigan,Purdue|Michigan|Arizona|Florida
5667,Michigan,Houston|Michigan|Tennessee|Florida
5668,Texas Tech,South Fla.|Texas Tech|Iowa St.|Florida
5669,Arizona,Houston|Saint Mary's (CA)|Arizona|McNeese
5670,Arizona,Houston|Gonzaga|Arizona|Arkansas
5671,Michigan,Houston|Michigan|Louisville|Illinois
5672,Duke,Duke|Ohio St.|Iowa St.|Florida
5673,Florida,Duke|Michigan|Iowa St.|Florida
5674,Illinois,Houston|Gonzaga|Villanova|Illinois
5675,Duke,Duke|Michigan|Iowa St.|Illinois
5676,Florida,Houston|Michigan|Iowa St.|Florida
5677,Michigan,Indiana|Michigan|Arizona|Virginia
5678,Michigan,Houston|Michigan|Arizona|Illinois
5679,Michigan,Houston|Michigan|Arizona|NC State
5680,Duke,Duke|Gonzaga|Michigan St.|North Carolina
5681,Cincinnati,Purdue|Michigan|Iowa St.|Cincinnati
5682,Illinois,Duke|UConn|Iowa St.|Illinois
5683,Houston,Houston|UConn|Iowa St.|Virginia
5684,Michigan,Duke|Michigan|Texas A&M|McNeese
5685,Florida,Purdue|Texas Tech|Arizona|Florida
5686,Michigan St.,Houston|UConn|Michigan St.|North Carolina
5687,Michigan,Kansas|Michigan|Arizona|Florida
5688,Houston,Houston|Iowa|Arizona|Virginia
5689,Illinois,Purdue|Gonzaga|Iowa St.|Illinois
5690,Illinois,Nebraska|Gonzaga|Arizona|Illinois
5691,Michigan,Purdue|Michigan|Iowa St.|Arkansas
5692,Illinois,Georgia|Texas Tech|Iowa St.|Illinois
5693,Iowa St.,Akron|Texas Tech|Iowa St.|Kentucky
5694,Tennessee,Duke|Michigan|Tennessee|McNeese
5695,Florida,Houston|Gonzaga|Iowa St.|Florida
5696,Michigan,Purdue|Michigan|Tennessee|North Carolina
5697,Duke,Duke|UConn|Iowa St.|Illinois
5698,Arizona,Duke|Texas Tech|Arizona|Arkansas
5699,Gonzaga,Duke|Gonzaga|Arizona|McNeese
5700,Illinois,Houston|UConn|Michigan St.|Illinois
5701,Michigan St.,Purdue|Gonzaga|Michigan St.|Florida
5702,Arizona,Saint Louis|Ohio St.|Arizona|North Carolina
5703,Iowa St.,Houston|Michigan|Iowa St.|North Carolina
5704,Michigan,Wisconsin|Michigan|Louisville|Illinois
5705,Illinois,Purdue|Michigan|Iowa St.|Illinois
5706,Houston,Houston|Gonzaga|Michigan St.|Florida
5707,Purdue,Purdue|Vanderbilt|Louisville|St. John's (NY)
5708,Illinois,Houston|Saint Mary's (CA)|Michigan St.|Illinois
5709,Michigan,Houston|Michigan|Arizona|St. John's (NY)
5710,Michigan,Duke|Michigan|Iowa St.|Florida
5711,Duke,Duke|Michigan|Arizona|Florida
5712,Duke,Duke|Texas Tech|Michigan St.|Miami (FL)
5713,Michigan,Duke|Michigan|Arizona|Arkansas
5714,NC State,Kansas|Michigan|Oklahoma|NC State
5715,Houston,Houston|Michigan|Michigan St.|Illinois
5716,Houston,Houston|Michigan|Louisville|Kentucky
5717,Illinois,Purdue|Gonzaga|Arizona|Illinois
5718,Duke,Duke|UConn|UCLA|Illinois
5719,Arizona,Nebraska|Texas Tech|Arizona|Arkansas
5720,South Fla.,South Fla.|UConn|Tennessee|Santa Clara
5721,Illinois,Saint Louis|Texas Tech|Arizona|Illinois
5722,Florida,Houston|Gonzaga|West Virginia|Florida
5723,Duke,Duke|Michigan|Louisville|Arkansas
5724,Iowa,Purdue|Iowa|Michigan St.|McNeese
5725,Houston,Houston|Michigan|Iowa St.|Illinois
5726,Arizona,Indiana|Texas Tech|Arizona|Miami (FL)
5727,Tennessee,Purdue|UConn|Tennessee|Illinois
5728,Duke,Duke|Vanderbilt|Tennessee|Illinois
5729,Purdue,Purdue|Iowa|Michigan St.|McNeese
5730,Michigan St.,Duke|Gonzaga|Michigan St.|Illinois
5731,Arizona,Duke|Gonzaga|Arizona|Florida
5732,Iowa St.,Houston|Michigan|Iowa St.|North Carolina
5733,Purdue,Purdue|Texas Tech|Arizona|Florida
5734,Illinois,Duke|Michigan|Michigan St.|Illinois
5735,Duke,Duke|Ohio St.|Louisville|Florida
5736,Iowa St.,Purdue|Gonzaga|Iowa St.|Miami (FL)
5737,Purdue,Purdue|Texas Tech|Michigan St.|NC State
5738,Texas Tech,Purdue|Texas Tech|Arizona|Arkansas
5739,Iowa St.,Duke|UConn|Iowa St.|Arkansas
5740,Illinois,Indiana|Texas Tech|Iowa St.|Illinois
5741,Florida,Duke|Texas Tech|Louisville|Florida
5742,Iowa St.,Purdue|UConn|Iowa St.|St. John's (NY)
5743,Saint Mary's (CA),Houston|Saint Mary's (CA)|Iowa St.|Florida
5744,Duke,Duke|Saint Mary's (CA)|Iowa St.|Cincinnati
5745,Duke,Duke|UConn|Texas A&M|North Carolina
5746,Iowa St.,Houston|Iowa|Iowa St.|Boise St.
5747,Purdue,Purdue|Vanderbilt|Iowa St.|NC State
5748,Duke,Duke|Vanderbilt|Arizona|Boise St.
5749,Texas A&M,Indiana|Vanderbilt|Texas A&M|Florida
5750,Illinois,Alabama|Michigan|Louisville|Illinois
5751,Iowa St.,Houston|Iowa|Iowa St.|Florida
5752,Michigan,Purdue|Michigan|Michigan St.|Illinois
5753,Arizona,Purdue|Michigan|Arizona|Arkansas
5754,South Fla.,South Fla.|Michigan|Iowa St.|Illinois
5755,Illinois,Purdue|Michigan|Texas A&M|Illinois
5756,Vanderbilt,Wisconsin|Vanderbilt|Louisville|Kentucky
5757,Arizona,Houston|Michigan|Arizona|St. John's (NY)
5758,Houston,Houston|Gonzaga|Tennessee|Illinois
5759,Tennessee,Akron|Michigan|Tennessee|Florida
5760,Duke,Duke|Michigan|Iowa St.|Illinois
5761,Virginia,Houston|UConn|Tennessee|Virginia
5762,Houston,Houston|Texas Tech|Arizona|Florida
5763,Houston,Houston|Ohio St.|Michigan St.|Virginia
5764,Michigan,Purdue|Michigan|Tennessee|Virginia
5765,Illinois,Wisconsin|Vanderbilt|Louisville|Illinois
5766,Purdue,Purdue|UConn|West Virginia|Virginia
5767,Iowa St.,Duke|Saint Mary's (CA)|Iowa St.|Illinois
5768,Illinois,Houston|Iowa|Iowa St.|Illinois
5769,NC State,SMU|Texas Tech|Tennessee|NC State
5770,Duke,Duke|Gonzaga|Arizona|Illinois
5771,Arizona,Purdue|Michigan|Arizona|NC State
5772,Illinois,Purdue|UConn|Louisville|Illinois
5773,Purdue,Purdue|Michigan|Arizona|Florida
5774,McNeese,Duke|Saint Mary's (CA)|Iowa St.|McNeese
5775,Illinois,Indiana|Texas|Michigan St.|Illinois
5776,Duke,Duke|Michigan|Arizona|Illinois
5777,Purdue,Purdue|Gonzaga|Iowa St.|North Carolina
5778,Michigan,South Fla.|Michigan|UCLA|Florida
5779,Duke,Duke|Vanderbilt|Michigan St.|NC State
5780,Michigan St.,Duke|UConn|Michigan St.|McNeese
5781,Texas Tech,SMU|Texas Tech|Louisville|Florida
5782,Florida,Wisconsin|UConn|Iowa St.|Florida
5783,Arkansas,Duke|Ohio St.|UCLA|Arkansas
5784,Houston,Houston|Ohio St.|Michigan St.|Florida
5785,Saint Mary's (CA),Alabama|Saint Mary's (CA)|Iowa St.|Arkansas
5786,Michigan,Houston|Michigan|Arizona|North Carolina
5787,Alabama,Alabama|Gonzaga|Iowa St.|St. John's (NY)
5788,Florida,SMU|Texas Tech|Michigan St.|Florida
5789,Illinois,Duke|Michigan|Iowa St.|Illinois
5790,Illinois,Purdue|UConn|Iowa St.|Illinois
5791,Duke,Duke|Vanderbilt|Iowa St.|Arkansas
5792,UConn,Houston|UConn|Iowa St.|McNeese
5793,Michigan,Alabama|Michigan|Louisville|Virginia
5794,Houston,Houston|Michigan|Louisville|Illinois
5795,UConn,South Fla.|UConn|Arizona|Illinois
5796,Michigan,Wisconsin|Michigan|Arizona|Arkansas
5797,UConn,Purdue|UConn|Iowa St.|Virginia
5798,Duke,Duke|Ohio St.|Arizona|Florida
5799,Clemson,Houston|Clemson|Louisville|Illinois
5800,UConn,SMU|UConn|Michigan St.|McNeese
5801,Saint Mary's (CA),Houston|Saint Mary's (CA)|Louisville|Santa Clara
5802,Houston,Houston|Michigan|Iowa St.|Arkansas
5803,Michigan,Indiana|Michigan|Arizona|Illinois
5804,Michigan,Houston|Michigan|Iowa St.|NC State
5805,Duke,Duke|Saint Mary's (CA)|Arizona|Florida
5806,Houston,Houston|Michigan|Louisville|Illinois
5807,NC State,Kansas|Iowa|Arizona|NC State
5808,Illinois,Houston|Michigan|Arizona|Illinois
5809,Illinois,South Fla.|Iowa|Arizona|Illinois
5810,Michigan,South Fla.|Michigan|UCLA|Arkansas
5811,Duke,Duke|Saint Mary's (CA)|Iowa St.|Illinois
5812,Florida,Houston|Michigan|Arizona|Florida
5813,Duke,Duke|Ohio St.|Texas A&M|Santa Clara
5814,Houston,Houston|UConn|Iowa St.|Illinois
5815,Houston,Houston|Ohio St.|Tennessee|Virginia
5816,St. John's (NY),Indiana|Michigan|Iowa St.|St. John's (NY)
5817,Houston,Houston|Texas Tech|UCLA|NC State
5818,Florida,Houston|Saint Mary's (CA)|Michigan St.|Florida
5819,Texas Tech,Saint Louis|Texas Tech|Arizona|Santa Clara
5820,Duke,Duke|UConn|Oklahoma|Illinois
5821,Illinois,Alabama|Saint Mary's (CA)|Louisville|Illinois
5822,Florida,Houston|Michigan|Iowa St.|Florida
5823,Tennessee,Kansas|Vanderbilt|Tennessee|Florida
5824,Iowa St.,Houston|UConn|Iowa St.|St. John's (NY)
5825,Michigan,South Fla.|Michigan|UCLA|McNeese
5826,Illinois,Kansas|Michigan|Louisville|Illinois
5827,Arizona,Purdue|Michigan|Arizona|Cincinnati
5828,Purdue,Purdue|UConn|Iowa St.|Illinois
5829,Duke,Duke|Saint Mary's (CA)|Iowa St.|Arkansas
5830,Arizona,Purdue|Vanderbilt|Arizona|North Carolina
5831,Illinois,Houston|Michigan|Iowa St.|Illinois
5832,Michigan St.,San Diego St.|Texas Tech|Michigan St.|Virginia
5833,Arizona,Houston|Michigan|Arizona|Cincinnati
5834,Duke,Duke|Vanderbilt|Michigan St.|Illinois
5835,Duke,Duke|Vanderbilt|Iowa St.|Illinois
5836,South Fla.,South Fla.|Vanderbilt|Michigan St.|Illinois
5837,Florida,Purdue|Texas Tech|Louisville|Florida
5838,Illinois,Duke|Iowa|Michigan St.|Illinois
5839,Iowa St.,Duke|Michigan|Iowa St.|Illinois
5840,Illinois,Georgia|Vanderbilt|Tennessee|Illinois
5841,Illinois,Purdue|Ohio St.|Tennessee|Illinois
5842,Michigan,Wisconsin|Michigan|Tennessee|Kentucky
5843,Duke,Duke|UConn|Louisville|North Carolina
5844,Florida,Purdue|Saint Mary's (CA)|Iowa St.|Florida
5845,Michigan,Houston|Michigan|Louisville|Virginia
5846,Michigan,Duke|Michigan|Tennessee|St. John's (NY)
5847,Duke,Duke|Vanderbilt|Arizona|Arkansas
5848,Michigan,Duke|Michigan|Tennessee|Florida
5849,Texas Tech,Purdue|Texas Tech|Baylor|Arkansas
5850,Michigan,Duke|Michigan|Michigan St.|Florida
5851,Michigan,Purdue|Michigan|Iowa St.|Illinois
5852,Michigan,Purdue|Michigan|Arizona|Kentucky
5853,Duke,Duke|UConn|Arizona|NC State
5854,Arkansas,Alabama|Michigan|Iowa St.|Arkansas
5855,Arizona,Purdue|Michigan|Arizona|Illinois
5856,Michigan,Duke|Michigan|Louisville|Illinois
5857,Illinois,Duke|UConn|Michigan St.|Illinois
5858,NC State,Wisconsin|Vanderbilt|Iowa St.|NC State
5859,Illinois,Duke|Texas Tech|Louisville|Illinois
5860,Houston,Houston|Michigan|Louisville|Santa Clara
5861,Illinois,Duke|UConn|UCLA|Illinois
5862,Saint Mary's (CA),Wisconsin|Saint Mary's (CA)|Iowa St.|Virginia
5863,Tennessee,Houston|Texas|Tennessee|NC State
5864,Iowa St.,Purdue|Michigan|Iowa St.|NC State
5865,Texas Tech,South Fla.|Texas Tech|Tennessee|Illinois
5866,Saint Mary's (CA),Nebraska|Saint Mary's (CA)|Iowa St.|Illinois
5867,Florida,Houston|Iowa|Louisville|Florida
5868,Houston,Houston|Saint Mary's (CA)|Arizona|Kentucky
5869,South Fla.,South Fla.|Gonzaga|Iowa St.|Florida
5870,Texas Tech,SMU|Texas Tech|Iowa St.|Illinois
5871,Duke,Duke|Vanderbilt|Iowa St.|Illinois
5872,Purdue,Purdue|Ohio St.|Iowa St.|St. John's (NY)
5873,Texas A&M,South Fla.|Ohio St.|Texas A&M|Illinois
5874,Duke,Duke|Missouri|Michigan St.|NC State
5875,Illinois,South Fla.|Iowa|Tennessee|Illinois
5876,Florida,Washington|Gonzaga|Iowa St.|Florida
5877,McNeese,Alabama|Iowa|Tennessee|McNeese
5878,Houston,Houston|Ohio St.|Arizona|Illinois
5879,Duke,Duke|UConn|Arizona|St. John's (NY)
5880,Iowa St.,Purdue|Saint Mary's (CA)|Iowa St.|Illinois
5881,Illinois,Duke|Michigan|Tennessee|Illinois
5882,Duke,Duke|Ohio St.|Iowa St.|Florida
5883,Florida,Houston|Michigan|Arizona|Florida
5884,Illinois,Alabama|Iowa|Arizona|Illinois
5885,Tennessee,Houston|Michigan|Tennessee|Miami (OH)
5886,Illinois,Purdue|UConn|Iowa St.|Illinois
5887,Wisconsin,Wisconsin|Vanderbilt|Arizona|Illinois
5888,Michigan,Houston|Michigan|Arizona|Florida
5889,Florida,Purdue|Michigan|Michigan St.|Florida
5890,Louisville,Saint Louis|Gonzaga|Louisville|Illinois
5891,Iowa St.,Duke|Texas Tech|Iowa St.|Florida
5892,Michigan,South Fla.|Michigan|Arizona|St. John's (NY)
5893,Duke,Duke|Texas Tech|Iowa St.|Illinois
5894,Iowa St.,Purdue|Michigan|Iowa St.|Arkansas
5895,South Fla.,South Fla.|UConn|Arizona|Illinois
5896,Iowa St.,Nebraska|Iowa|Iowa St.|Cincinnati
5897,Duke,Duke|Texas Tech|Arizona|Virginia
5898,Arizona,Purdue|Saint Mary's (CA)|Arizona|NC State
5899,Purdue,Purdue|Michigan|Tennessee|Illinois
5900,Purdue,Purdue|Vanderbilt|Iowa St.|Santa Clara
5901,Arizona,SMU|Vanderbilt|Arizona|Illinois
5902,Michigan,Alabama|Michigan|Arizona|Virginia
5903,UConn,Duke|UConn|Tennessee|Illinois
5904,Purdue,Purdue|Ohio St.|Arizona|Illinois
5905,Houston,Houston|UConn|Auburn|Cincinnati
5906,Texas Tech,Alabama|Texas Tech|Iowa St.|Arkansas
5907,Houston,Houston|Texas Tech|Tennessee|Illinois
5908,Florida,Purdue|Saint Mary's (CA)|Louisville|Florida
5909,Arkansas,Houston|UConn|Iowa St.|Arkansas
5910,Virginia,Indiana|Gonzaga|UCLA|Virginia
5911,Illinois,SMU|Saint Mary's (CA)|Louisville|Illinois
5912,Arizona,Purdue|Texas Tech|Arizona|Florida
5913,South Fla.,South Fla.|Michigan|Arizona|Illinois
5914,NC State,San Diego St.|UConn|Tennessee|NC State
5915,Houston,Houston|Vanderbilt|Iowa St.|Florida
5916,Michigan St.,Duke|Iowa|Michigan St.|McNeese
5917,Michigan,Duke|Michigan|Iowa St.|Florida
5918,Illinois,Purdue|Michigan|Louisville|Illinois
5919,Louisville,Alabama|Ohio St.|Louisville|St. John's (NY)
5920,Florida,Houston|Ohio St.|Iowa St.|Florida
5921,UConn,Nebraska|UConn|Michigan St.|Florida
5922,UConn,Alabama|UConn|Michigan St.|Cincinnati
5923,Florida,Duke|Michigan|Michigan St.|Florida
5924,Michigan,South Fla.|Michigan|Arizona|Illinois
5925,Arizona,Wisconsin|Michigan|Arizona|Florida
5926,Miami (OH),Purdue|Saint Mary's (CA)|Arizona|Miami (OH)
5927,Iowa St.,Purdue|Texas Tech|Iowa St.|McNeese
5928,Texas Tech,Duke|Texas Tech|Auburn|Arkansas
5929,Iowa St.,Indiana|UConn|Iowa St.|Illinois
5930,Houston,Houston|Michigan|Tennessee|Virginia
5931,Florida,Houston|Gonzaga|Iowa St.|Florida
5932,Arizona,Houston|Michigan|Arizona|Florida
5933,Saint Mary's (CA),Duke|Saint Mary's (CA)|Arizona|Florida
5934,Illinois,Houston|Ohio St.|Arizona|Illinois
5935,Florida,Houston|New Mexico|Louisville|Florida
5936,Illinois,Purdue|Gonzaga|Michigan St.|Illinois
5937,Michigan,Houston|Michigan|Louisville|Arkansas
5938,Houston,Houston|Michigan|Iowa St.|Santa Clara
5939,Michigan,Houston|Michigan|Michigan St.|Florida
5940,Illinois,Georgia|Michigan|Texas A&M|Illinois
5941,Purdue,Purdue|Michigan|Iowa St.|St. John's (NY)
5942,Illinois,Duke|Michigan|Iowa St.|Illinois
5943,Illinois,Houston|Michigan|Utah St.|Illinois
5944,Illinois,Duke|Saint Mary's (CA)|Iowa St.|Illinois
5945,Texas Tech,Duke|Texas Tech|Arizona|NC State
5946,Ohio St.,Duke|Ohio St.|Iowa St.|Florida
5947,Michigan,Houston|Michigan|Iowa St.|VCU
5948,Alabama,Alabama|Iowa|Iowa St.|Miami (FL)
5949,Houston,Houston|Vanderbilt|Arizona|Arkansas
5950,Arizona,Houston|UConn|Arizona|Illinois
5951,Michigan,Kansas|Michigan|Iowa St.|North Carolina
5952,Purdue,Purdue|Ohio St.|Michigan St.|Virginia
5953,Duke,Duke|Ohio St.|Louisville|Arkansas
5954,Duke,Duke|Michigan|Arizona|Kentucky
5955,Iowa St.,Duke|Texas Tech|Iowa St.|Virginia
5956,Texas Tech,Kansas|Texas Tech|Iowa St.|Florida
5957,Duke,Duke|UConn|Iowa St.|Illinois
5958,Florida,Duke|UConn|Iowa St.|Florida
5959,Louisville,Houston|Gonzaga|Louisville|Virginia
5960,Texas Tech,Houston|Texas Tech|Iowa St.|McNeese
5961,Iowa St.,Indiana|Michigan|Iowa St.|Illinois
5962,Michigan,Alabama|Michigan|Iowa St.|St. John's (NY)
5963,Duke,Duke|Saint Mary's (CA)|Iowa St.|Illinois
5964,St. John's (NY),SMU|UConn|Iowa St.|St. John's (NY)
5965,Illinois,Duke|Saint Mary's (CA)|Iowa St.|Illinois
5966,Illinois,Houston|Vanderbilt|Louisville|Illinois
5967,Michigan,Houston|Michigan|Louisville|Illinois
5968,Duke,Duke|Michigan|Texas A&M|Arkansas
5969,Duke,Duke|Michigan|Tennessee|St. John's (NY)
5970,St. John's (NY),Purdue|UConn|Arizona|St. John's (NY)
5971,Florida,Stanford|Gonzaga|Virginia Tech|Florida
5972,Iowa,Houston|Iowa|Louisville|Virginia
5973,Florida,Georgia|Texas Tech|Iowa St.|Florida
5974,Florida,Saint Louis|Michigan|Iowa St.|Florida
5975,Iowa St.,Duke|Vanderbilt|Iowa St.|Santa Clara
5976,Saint Mary's (CA),Duke|Saint Mary's (CA)|Michigan St.|Illinois
5977,Duke,Duke|UConn|BYU|Florida
5978,Ohio St.,Georgia|Ohio St.|Villanova|St. John's (NY)
5979,Duke,Duke|Texas Tech|Iowa St.|Illinois
5980,UConn,Washington|UConn|Tennessee|Illinois
5981,Houston,Houston|Texas Tech|Iowa St.|UCF
5982,Duke,Duke|Gonzaga|Arizona|Kentucky
5983,Iowa,South Fla.|Iowa|Iowa St.|Illinois
5984,Iowa St.,Kansas|Michigan|Iowa St.|Illinois
5985,Vanderbilt,San Diego St.|Vanderbilt|Michigan St.|North Carolina
5986,Duke,Duke|Michigan|Arizona|St. John's (NY)
5987,Arizona,Alabama|Michigan|Arizona|Illinois
5988,Purdue,Purdue|Michigan|Arizona|Miami (OH)
5989,Illinois,Wisconsin|Michigan|Arizona|Illinois
5990,Arizona,South Fla.|Gonzaga|Arizona|Virginia
5991,Houston,Houston|UConn|Tennessee|Illinois
5992,Arizona,Wisconsin|Ohio St.|Arizona|Santa Clara
5993,Michigan,Alabama|Michigan|Arizona|Illinois
5994,Duke,Duke|UConn|Iowa St.|Illinois
5995,Houston,Houston|Michigan|Iowa St.|St. John's (NY)
5996,Kansas,Kansas|Texas Tech|Arizona|NC State
5997,Duke,Duke|Gonzaga|Louisville|Arkansas
5998,Houston,Houston|Michigan|Michigan St.|Illinois
5999,Iowa St.,SMU|Texas Tech|Iowa St.|Florida
6000,Florida,Duke|Michigan|Arizona|Florida
6001,Louisville,Houston|Iowa|Louisville|Illinois
6002,Illinois,Alabama|Texas Tech|Iowa St.|Illinois
6003,Illinois,Purdue|Texas Tech|Michigan St.|Illinois
6004,Illinois,South Fla.|Vanderbilt|Louisville|Illinois
6005,Michigan,Purdue|Michigan|Michigan St.|Arkansas
6006,Duke,Duke|Iowa|Michigan St.|Florida
6007,Purdue,Purdue|Vanderbilt|Louisville|Florida
6008,Florida,Houston|Saint Mary's (CA)|Arizona|Florida
6009,Houston,Houston|UConn|Iowa St.|Florida
6010,Purdue,Purdue|Texas Tech|UCLA|Kentucky
6011,Houston,Houston|Texas Tech|Iowa St.|Cincinnati
6012,Duke,Duke|Vanderbilt|Michigan St.|St. John's (NY)
6013,Iowa St.,Nebraska|Saint Mary's (CA)|Iowa St.|Illinois
6014,Michigan,Houston|Michigan|Iowa St.|McNeese
6015,Michigan,Houston|Michigan|Michigan St.|Florida
6016,Illinois,Duke|UConn|Iowa St.|Illinois
6017,Arizona,Kansas|Michigan|Arizona|Florida
6018,Saint Mary's (CA),Houston|Saint Mary's (CA)|Arizona|Florida
6019,Michigan,Purdue|Michigan|Arizona|Virginia
6020,Michigan,Purdue|Michigan|Tennessee|Miami (FL)
6021,Iowa St.,Wisconsin|UConn|Iowa St.|NC State
6022,St. John's (NY),Purdue|Michigan|Tennessee|St. John's (NY)
6023,Gonzaga,Houston|Gonzaga|Tennessee|McNeese
6024,Iowa St.,Houston|Michigan|Iowa St.|Santa Clara
6025,Oklahoma,Duke|Texas Tech|Oklahoma|McNeese
6026,Houston,Houston|Saint Mary's (CA)|Iowa St.|Kentucky
6027,Florida,Purdue|Michigan|Arizona|Florida
6028,Michigan,Georgia|Michigan|Iowa St.|Illinois
6029,Michigan,Duke|Michigan|Iowa St.|Arkansas
6030,Florida,South Fla.|Gonzaga|Tennessee|Florida
6031,Illinois,Houston|Michigan|Auburn|Illinois
6032,Arizona,Purdue|Missouri|Arizona|Virginia
6033,Michigan,Houston|Michigan|Louisville|Virginia
6034,Purdue,Purdue|Michigan|Iowa St.|Cincinnati
6035,Illinois,Purdue|Vanderbilt|Iowa St.|Illinois
6036,Louisville,Georgia|Texas Tech|Louisville|Kentucky
6037,Florida,Duke|Michigan|Michigan St.|Florida
6038,Auburn,Duke|Texas Tech|Auburn|Illinois
6039,Illinois,Purdue|Michigan|Arizona|Illinois
6040,Duke,Duke|Texas Tech|Iowa St.|Illinois
6041,Duke,Duke|Michigan|Michigan St.|Florida
6042,North Carolina,Duke|Saint Mary's (CA)|Arizona|North Carolina
6043,South Fla.,South Fla.|Iowa|Tennessee|Illinois
6044,Arizona,Purdue|Ohio St.|Arizona|Virginia
6045,UConn,Alabama|UConn|Tennessee|Illinois
6046,Illinois,Purdue|Texas Tech|Iowa St.|Illinois
6047,Florida,Purdue|Ohio St.|Iowa St.|Florida
6048,Florida,Purdue|Iowa|Tennessee|Florida
6049,Texas Tech,Kansas|Texas Tech|Louisville|St. John's (NY)
6050,Illinois,Duke|Saint Mary's (CA)|Louisville|Illinois
6051,Florida,Nebraska|Iowa|Louisville|Florida
6052,Illinois,Purdue|Vanderbilt|Tennessee|Illinois
6053,Louisville,Duke|Texas Tech|Louisville|NC State
6054,Duke,Duke|UConn|Michigan St.|Illinois
6055,Iowa St.,Purdue|UConn|Iowa St.|Illinois
6056,Arizona,Houston|UConn|Arizona|Virginia
6057,Houston,Houston|Michigan|Iowa St.|Florida
6058,Michigan,Houston|Michigan|Texas A&M|Florida
6059,Iowa St.,Duke|Texas Tech|Iowa St.|Miami (FL)
6060,Arizona,Houston|Michigan|Arizona|Illinois
6061,Arkansas,Alabama|Gonzaga|Michigan St.|Arkansas
6062,Duke,Duke|Texas Tech|Tennessee|Illinois
6063,Florida,Houston|Iowa|Arizona|Florida
6064,Duke,Duke|Texas Tech|Auburn|Virginia
6065,NC State,Duke|Michigan|Iowa St.|NC State
6066,Arizona,Houston|Clemson|Arizona|Illinois
6067,Arizona,Houston|UConn|Arizona|St. John's (NY)
6068,Texas Tech,Purdue|Texas Tech|Arizona|Florida
6069,Duke,Duke|Ohio St.|Iowa St.|North Carolina
6070,Texas Tech,Purdue|Texas Tech|Arizona|Illinois
6071,Duke,Duke|Texas Tech|Iowa St.|Florida
6072,Duke,Duke|TCU|Utah St.|Florida
6073,Illinois,Duke|Saint Mary's (CA)|Tennessee|Illinois
6074,Tennessee,Georgia|Texas Tech|Tennessee|Cincinnati
6075,Indiana,Indiana|Ohio St.|Arizona|McNeese
6076,Michigan,Kansas|Michigan|Iowa St.|Illinois
6077,Michigan,South Fla.|Michigan|Iowa St.|Illinois
6078,Iowa St.,Houston|Texas Tech|Iowa St.|Florida
6079,Duke,Duke|Michigan|Iowa St.|Illinois
6080,Houston,Houston|UConn|Arizona|Florida
6081,Arizona,Houston|Michigan|Arizona|Virginia
6082,Iowa St.,Duke|Texas Tech|Iowa St.|Virginia
6083,Illinois,Purdue|Ohio St.|Iowa St.|Illinois
6084,Florida,Duke|Michigan|Iowa St.|Florida
6085,UConn,Alabama|UConn|Arizona|Florida
6086,Michigan,Houston|Michigan|Arizona|Illinois
6087,Michigan,Duke|Michigan|Iowa St.|Arkansas
6088,Louisville,Houston|Gonzaga|Louisville|Miami (FL)
6089,UConn,SMU|UConn|Iowa St.|Florida
6090,Louisville,Kansas|Michigan|Louisville|NC State
6091,Houston,Houston|Iowa|Iowa St.|Illinois
6092,Houston,Houston|Texas Tech|Iowa St.|Florida
6093,Duke,Duke|Michigan|Iowa St.|Arkansas
6094,Iowa St.,Alabama|Vanderbilt|Iowa St.|Florida
6095,Arizona,Houston|Michigan|Arizona|St. John's (NY)
6096,Purdue,Purdue|Iowa|Tennessee|St. John's (NY)
6097,New Mexico,Purdue|New Mexico|Tennessee|Florida
6098,Michigan St.,Duke|Iowa|Michigan St.|Illinois
6099,Saint Mary's (CA),Houston|Saint Mary's (CA)|Tennessee|Illinois
6100,Texas Tech,Nebraska|Texas Tech|Tennessee|Illinois
6101,Illinois,Houston|Clemson|Iowa St.|Illinois
6102,Houston,Houston|Vanderbilt|Louisville|Florida
6103,Illinois,Purdue|Iowa|Tennessee|Illinois
6104,Houston,Houston|Vanderbilt|Arizona|Florida
