team_a,team_b,elastic_net_platt,elastic_net_isotonic,elastic_net_beta,elastic_net_venn_abers,gp_platt,gp_isotonic,gp_beta,gp_venn_abers,lightgbm_platt,lightgbm_isotonic,lightgbm_beta,lightgbm_venn_abers,xgboost_platt,xgboost_isotonic,xgboost_beta,xgboost_venn_abers
Michigan St.,Ohio St.,0.5956359708919285,0.7083333333333334,0.6330099054337649,0.7083333333333334,0.6028181727466283,0.631578947368421,0.6359089442567167,0.631578947368421,0.7560306661814027,0.9047619047619048,0.8476944189366795,0.9047619047619048,0.7483565502712494,0.8529411764705882,0.8355532918227424,0.8529411764705882
Michigan St.,UCLA,0.6136318361576938,0.7083333333333334,0.6551347304132581,0.7083333333333334,0.619025447195883,0.631578947368421,0.6577540506720772,0.631578947368421,0.7359870618406431,0.8,0.8143223291541051,0.8,0.75740668345377,0.8529411764705882,0.8493322936613392,0.8529411764705882
Michigan St.,Miami (FL),0.6656890111513819,0.7727272727272727,0.7189181192538332,0.7727272727272727,0.6695388431568604,0.8181818181818182,0.727169516233415,0.8181818181818182,0.7007343003539039,0.6808510638297872,0.7593006688815839,0.6808510638297872,0.6944444749241917,0.717948717948718,0.7561317229826765,0.717948717948718
Michigan St.,Georgia,0.6809534101924917,0.7727272727272727,0.7377384654613721,0.7727272727272727,0.6955644195569434,0.8181818181818182,0.7639190622821168,0.8181818181818182,0.7363833870395591,0.8,0.8149662465574964,0.8,0.774526200143988,0.8529411764705882,0.8757271940431531,0.8529411764705882
Michigan St.,Clemson,0.6393871004961491,0.7083333333333334,0.6866762032775635,0.7083333333333334,0.6286770137940849,0.7142857142857143,0.6708505903761439,0.7142857142857143,0.7132343041757305,0.7333333333333333,0.7783286916652772,0.7333333333333333,0.7444718844811898,0.8529411764705882,0.8296778767947759,0.8529411764705882
Michigan St.,Villanova,0.6651155689296495,0.7727272727272727,0.7182132188172685,0.7727272727272727,0.6679940973041598,0.8181818181818182,0.7250115504929068,0.8181818181818182,0.7290253958048528,0.8,0.8031098778441998,0.8,0.7799770719518877,0.92977524859097,0.8842129727810824,0.92977524859097
Michigan St.,SMU,0.7828252480112536,0.8571428571428571,0.8717599801935664,0.8571428571428571,0.7134248422895796,0.8181818181818182,0.7896038412104764,0.8181818181818182,0.6349458617305269,0.6808510638297872,0.6659688235917811,0.6808510638297872,0.7095253982982673,0.8354887611379765,0.7778954087187843,0.8354887611379765
Michigan St.,TCU,0.713633679228044,0.7727272727272727,0.7786260403992079,0.7727272727272727,0.7170677798987904,0.8181818181818182,0.7948926306648243,0.8181818181818182,0.7041533073395805,0.7333333333333333,0.7644566916633397,0.7333333333333333,0.7720865034413368,0.8529411764705882,0.8719410278983755,0.8529411764705882
Michigan St.,Auburn,0.6861550863142238,0.7727272727272727,0.744183025978776,0.7727272727272727,0.7131240480582227,0.8181818181818182,0.7891679240764976,0.8181818181818182,0.7312271709291426,0.8,0.806636192428033,0.8,0.7213202189257035,0.8529411764705882,0.7951577098905612,0.8529411764705882
Michigan St.,Santa Clara,0.6542886099508718,0.7727272727272727,0.704924823297683,0.7727272727272727,0.6621233634038038,0.8181818181818182,0.7168325772681493,0.8181818181818182,0.7139326658521221,0.7333333333333333,0.7794065300737001,0.7333333333333333,0.7439877657051523,0.8529411764705882,0.828947340052761,0.8529411764705882
