year,favorite,underdog,adjoe_diff,adjde_diff,barthag_diff,sos_diff,wab_diff,adjt_diff,adjoe_ratio,adjde_ratio,barthag_ratio,sos_ratio,wab_ratio,adjt_ratio,favorite_win_flag
2012,UNLV,Colorado,4.131035016256533,-1.3171491518436795,0.09016373971099889,-0.0288896346944153,3.105730260495566,4.049592739846034,1.0393328925172316,0.9860785065455402,1.117293392361727,0.9545351431745569,-10.081892935496764,1.06237691795058,0
2013,Michigan State,Memphis,4.842654321027567,-2.222928228325955,0.06881467371798411,0.16364414488382772,1.9498369460537157,-4.889970336227265,1.045030825595252,0.9757060340469978,1.0795532986156633,1.2844459845652636,1.4114338518297396,0.9280327304373696,1
2011,San Diego State,Connecticut,-2.0614220449892997,-2.6851077802704992,0.008922581335643054,-0.07289060103583178,1.971594600784048,-2.0372830968943987,0.9821958799340403,0.9713184694775197,1.0096962836289411,0.9014175009209241,1.291427673871439,0.9682608720115651,0
2011,North Carolina,Washington,-5.681938050532821,-6.476285559369586,0.017582237255183597,0.04209833675714125,5.543196211867049,-0.03661194642647558,0.9519985460258183,0.9333339368658363,1.0193930094704955,1.0601172599686537,4.182045227550233,0.9994799533264586,1
2014,Baylor,Nebraska,10.943211346180163,4.452367198795116,0.072967904373889,0.025077649111255096,1.8412494676275886,-3.53910011968064,1.1005954128317,1.0464998044019422,1.08978259253178,1.0357117904588449,2.428975560680938,0.9451114546084842,1
2011,Notre Dame,Florida State,19.4176729361114,10.112816466552445,0.0628939803527645,0.05274533721849972,6.553012618268057,-4.628167635959642,1.1872226650161568,1.114926230773947,1.0723916209989606,1.0806911650128306,6.897507287463258,0.9316093247903263,0
2011,North Carolina,Marquette,-2.4950137009722795,-7.133449420982458,0.056417653418817215,0.04357337637540193,6.692213378404274,4.2243522015430415,0.9783387311591502,0.927062580542208,1.0650155743076375,1.0623550427378146,12.28524325004936,1.0638676872939452,1
2014,Tennessee,Massachusetts,9.148810152185845,-3.5013098431152514,0.14389504143538667,-0.001380910949691394,-3.250687015818641,-8.716078708428853,1.083512075663328,0.9641009406937275,1.181708835176917,0.9980046717566022,0.11169774772328284,0.8751701271289896,1
2011,Georgetown,Virginia Commonwealth,0.5987011573198515,-2.832648979845075,0.05558915450185142,0.14294841334991315,6.1661001395427615,-1.5171604822498495,1.005315646309282,0.9716358954837224,1.0695306579044996,1.2335393609796965,-2.1951172852470466,0.9767006784551192,0
2013,San Diego State,Florida Gulf Coast,2.3673819626913826,-6.537057815531256,0.1718919103951705,0.21157821533895688,4.363162340924039,-2.293741049485277,1.0225971918449486,0.9329338754377893,1.2468637808749332,1.463657029918494,-0.1273233221995975,0.966156340806613,0
2012,Indiana,Virginia Commonwealth,13.795308200434391,5.063855950272838,0.08108815968741911,0.14402305343185673,3.4146452698616274,1.6449195882558456,1.1284912717643627,1.0543797862583626,1.0968664708778162,1.2682563872742594,2.4722229388862966,1.0253282547819973,1
2014,Virginia,Memphis,2.0634122234978065,-7.3898761013734315,0.09855767594667997,0.05347685752104203,5.390123495995152,-8.249435094709185,1.0182450234038234,0.9243083959792064,1.11672799217301,1.0829932646383023,2.895890599584341,0.8777771258148575,1
2013,Virginia Commonwealth,Akron,10.217788787112298,-2.2946864522769346,0.17695678171546592,0.12612708212144996,2.1516437280553675,1.6723177761563761,1.097505649594735,0.9760265791778178,1.2394049247463659,1.2447353448732754,4.856846095160405,1.0256830311507357,1
